data,produto,municipio,tipo,peso,preco
04/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
05/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
06/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
07/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
08/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
11/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
12/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
13/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
14/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
15/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
18/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
19/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
20/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
21/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
30/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
04/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
05/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
06/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
07/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
08/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
11/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
12/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
13/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
14/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
15/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
18/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
19/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
20/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
21/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
22/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
25/05/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 141,00"
26/05/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 141,00"
27/05/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 141,00"
28/05/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 141,00"
29/05/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 141,00"
01/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 141,00"
02/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 141,00"
03/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
08/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
09/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
10/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
11/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
12/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
15/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
22/05/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
26/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
27/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
28/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
29/05/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
01/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
02/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
03/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
08/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
09/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
10/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
11/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
12/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
15/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
16/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
16/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
17/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
18/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
19/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
25/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
26/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
29/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
30/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
01/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
03/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
06/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
07/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
08/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
09/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
10/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
17/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
18/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
19/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
25/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
26/06/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
29/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
30/06/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
01/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
03/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
06/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
07/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
08/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
09/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
10/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
13/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
13/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
14/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
15/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 145,50"
16/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
17/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
20/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
21/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
22/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
23/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
24/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
27/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 105,00"
28/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
29/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
30/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
31/07/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
14/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
15/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
16/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
17/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
20/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
21/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
22/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
23/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
24/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
27/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
28/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
29/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
30/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
31/07/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
03/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
03/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
04/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
05/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
06/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
07/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 150,00"
10/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 165,00"
11/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 165,00"
12/08/2015,Abacate,SALVADOR,Médio,cx 20 Kg,"R$ 165,00"
